"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"CAPACIDADE DE LUGARES";"LINGUAS"
GENI TERESA BALBINOT 54132401987;GI RESTAURANTE E LANCHONETE;"18.667.679/0001-32";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;88.715.000;SC;Jaguaruna;Jaguaruna;AVENIDA MANOEL FERMINIO, S/N;(48) 99679-5598;;geni-babinot@hotmail.com;;;"24.088843.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";120;Italiano
CUNHA & BORGES LTDA - ME;CUNHA & BORGES LTDA - ME;"01.049.992/0001-04";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Similar;79.290.000;MS;Bonito;Bonito;RUA CEL PILAD REBUA, 1852;(67) 3255-1283;;escrita@asteccontabil.com;;;"12.074422.15.0001-9";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Primário)";40;Espanhol
BAR E RESTAURANTE GRUTA DO TIGRE;RESTAURANTE GRUTA DO TIGRE;"06.121.755/0001-20";Sociedade Empresária;"01/03/2004";Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;89.180.000;SC;Rio do Oeste;Rio do Oeste;RUA RIBEIRÃO DO TIGRE,  150;(47) 8818-9009;(47) 9190-4025;marcoseissmann@hotmail.com;;;"24.037789.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";360;Espanhol ,Italiano
RA BAR E LANCHONETE LTDA-ME;BOMBAR;"32.488.553/0001-21";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;29.560.000;ES;Guaçuí;Guaçuí;AV. MARECHAL FLORIANO, 123;(28) 3553-2336;;jennifer@caxola.com.br;;;"08.079133.15.0001-9";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";140;Nenhuma das Opções
BIKE SHOW COMERCIO & SERVICOS LTDA - ME;PÉ DE BIKE;"15.661.807/0001-42";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Cafeteria;29.165.032;ES;Serra;PARQUE RESIDENCIAL LARA;AVENIDA CIVIT, 519 LOJA 03;(27) 3209-3210;(27) 99946-5506;anapaula@pedebike.com;fiscal@digitalcontabil.com.br;www.pedebike.com.br;"08.077755.15.0001-0";"7990-2/00-BILHETES DE PASSAGEM PARA QUALQUER FINALIDADE; VENDA DE (Primário), 5611-2/03-BAR SEM SERVIÇO COMPLETO (Secundário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";30;Espanhol ,Italiano ,Inglês
SANDRO RODRIGUES DE OLIVEIRA - EPP;VILLA DOS PARECIS;"09.813.461/0001-58";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;78.400.000;MT;Diamantino;Diamantino;RUA SUELY TEREZINHA DIAS MENDES, Nº 390, JD. GUARANÁ ;(65) 99941-4721;;sandro.dtno@hotmail.com;;;"13.041079.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";100;Nenhuma das Opções
ROSANGELA AUREA CAETANO - ME;RESTAURANTE MUQUECAS E CIA NATIVOS BAR;"10.679.598/0001-40";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;44.450.000;BA;Salinas da Margarida;Salinas da Margarida;RUA LIDIO PENA, S/N CENTRO;(75) 3659-1140;;moquecasecia@hotmail.com;;;"05.078843.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";150;Nenhuma das Opções
BAR E RESTAURANTE PARAISO DO BAIXINHO LTDA;PARAISO DO BAIXINHO;"01.234.635/0001-16";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Bar;49.035.110;SE;Aracaju;Atalaia;ROD JOSE SARNEY S/N QUIOSQUE 2;(79) 3227-2144;;confisco@oi.com.br;;;"25.057271.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário)";300;Nenhuma das Opções
MEIRIELE F DA SILVA ME;POUSADA RANCHO DAS DUNAS;"22.425.628/0001-71";Empresa Individual (EIRELI);;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;65.195.000;MA;Santo Amaro;Santo Amaro;RUA OLHO D'AGUA N° 11;(98) 9849-1441;(98) 98770-4387;reservas@ranchodasdunas.com.br;;;"10.087739.15.0001-6";"5510-8/01-HOTEL COM OU SEM SERVIÇO DE RESTAURANTE (Primário), 7912-1/00-OPERAÇÃO DE TURISMO; SERVIÇOS DE (Secundário), 7912-1/00-OPERAÇÕES DE VIAGEM; SERVIÇOS DE (Secundário), 5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Secundário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário), 8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE EVENTOS, EXCETO CULTURAIS E ESPORTIVOS, SERVIÇOS DE (Secundário)";120;Inglês
LEIDIANE MUNIZ DE OLIVEIRA;HOTEL PASSPORT;"27.679.402/0001-10";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Cafeteria;76.500.000;GO;Santa Terezinha de Goiás;Santa Terezinha de Goiás;R SAO MIGUEL, QD.12, LT.03 CENTRO;(62) 3339-6611;;timoteooliveira1@hotmail.com;;;"09.086963.15.0001-3";"5590-6/03-PENSÕES (ALOJAMENTO) (Primário), 5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";30;Nenhuma das Opções
C. A. DE BARROS DO CARMO - ME;RESTAURANTE DO MANO;"01.031.452/0001-01";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;57.955.000;AL;Maragogi;Maragogi;RUA SIMIÃO R. DE ALBUQUERQUE, 620 - SÃO BENTO;(82) 99116-0377;;restaurantedomano@gmail.com;;;"02.073156.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário), 4923-0/02-ALUGUEL DE VEÍCULOS RODOVIÁRIOS COM MOTORISTA, MUNICIPAL (Secundário)";300;
JOSE BARBOSA DA SILVA MARIS - ME;MERCEARIA, CONVENIENCIA E HOTEL MARIS;"17.163.124/0001-90";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;73.970.000;GO;Mambaí;Mambaí;RUA 14 DE NOVEMBRO SN QD. 27 A LT. 10 CENTRO;(62) 3484-1192;;maris.comercial@hotmail.com;;;"09.079849.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Secundário), 5510-8/01-HOTEL (Secundário)";30;Nenhuma das Opções
AUDIFAX CARDOSO MOREIRA - ME;SOCIETY MOREIRA E EVENTOS;"04.560.072/0001-44";Empresário Individual (Não MEI);"09/03/2006";Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;57.780.000;AL;Capela;Capela;ROD AL 210 - S/N;(82) 9331-8360;(82) 3241-6588;thaysa_loureiro@hotmail.com;contato@viverviagens.com;WWW.VIVERVIAGENS.COM;"02.063152.15.0001-2";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário), 8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE FEIRAS E EXPOSIÇÕES; SERVIÇOS DE (Secundário)";60;Nenhuma das Opções
J.F.L REZENDE -ME;RESTAURANTE MATA NATIVA;"08.133.200/0001-24";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;69.902.260;AC;Rio Branco;Corrente;ESTRADA DO AMAPÁ-1971-CORRENTE;(68) 3221-3004;(68) 9985-4124;restmatanativa@gmail.com;;;"01.060875.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";180;Espanhol
MARCIA ESTELA DO NASCIMENTO E SILVA EIRELLI-EPP;TIGRE ASIATICO RESTAURANTE;"08.961.780/0001-48";Empresa Individual (EIRELI);;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;88.780.000;SC;Imbituba;Imbituba;ESTRADA GERAL DA PRAIA DO ROSA S/N;(48) 3355-7045;;janatigre@hotmail.com;;;"24.089722.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";80;Espanhol ,Inglês
ALESSANDRA VETTORE - ME;RESTAURANTE A ITALIANA;"23.171.656/0001-72";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;89.240.000;SC;São Francisco do Sul;São Francisco do Sul;AV ATLANTICA, 1517;(47) 3444-0936;;vet.ale@virgilio.it;vite.vino@yahoo.it;;"24.087990.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";60;Italiano ,Inglês
GILVAN PEREIRA QUINA 59927860234;MAMMA MIA;"27.429.569/0001-23";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Similar;68.200.000;PA;Alenquer;Alenquer;RUA ICOARACI NUNES S/N;(92) 99150-4367;;gil_van29@hotmail.com;;;"14.089519.15.0001-9";"5611-2/01-PIZZARIA COM SERVIÇO COMPLETO; SERVIÇO DE ALIMENTAÇÃO (Primário)";120;Nenhuma das Opções
ROMA HOTEIS E REALIZAÇÕES LTDA;ROMA HOTEIS E REALIZAÇÕES - EXCLUSIVE;"00.071.556/0006-83";Sociedade Empresária;"13/12/1984";Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;75.690.000;GO;Caldas Novas;Caldas Novas;RUA:SANTA CATARINA COM RUA SAO BARTOLOMEU SN QD.08;(64) 3454-9200;(64) 3454-9006;adao.donizete@diromaexclusive.com.br;;WWW.DIROMA.COM.BR;"09.018803.15.0006-0";"5611-2/01-RESTAURANTES E SIMILARES (Secundário), 5510-8/01-HOTEL (Secundário)";160;
SANTOS,SANTOS & ALVARES LTDA-ME;SPETTO BAR;"22.317.109/0001-90";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Bar;68.376.525;PA;Altamira;JARDIM ALTAMIRA;RUA PROFESSORA NAIR LEMOS, 3668;(93) 99155-3871;;engfagundes@hotmail.com;;;"14.087763.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Secundário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário)";450;
BOTECO DO QUINCAS LTDA;QUINCAS BAR;"23.659.397/0001-23";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Bar;78.043.272;MT;Cuiabá;Duque de Caxias I;AVENIDA GENERAL RAMIRO DE NORONHA, 674;(65) 3359-4828;;alexandreyudi@hotmail.com;;;"13.080793.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";150;Japonês
M. L. COMÉRCIO DA PANIFICAÇÃO LTDA - ME;RESTAURANTE E PIZZARIA CHEIRO VERDE;"01.571.127/0001-23";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;69.940.000;AC;Sena Madureira;Sena Madureira;RUA NEWTON PRADO, Nº 46 - CENTRO;(68) 9984-4225;(68) 3612-2137;jnpetroleorh@gmail.com;;;"01.053990.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";200;Nenhuma das Opções
CAFE COM PAO PANIFICIOS LTDA-ME;CAFE COM PAO;"14.234.209/0001-24";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Similar;75.690.000;GO;Caldas Novas;Caldas Novas;AV CEL BENTO DE GODOY 1067-C QD.31 LT 07 CENTRO;(64) 3453-0305;;cafecompao@hotmail.com;;;"09.084887.15.0001-0";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";10;Nenhuma das Opções
CELIA PEREIRA DE ASSIS OLIVEIRA EIRELI - ME;SAFRA STUDIO CAFE;"27.083.251/0001-33";Empresa Individual (EIRELI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Cafeteria;74.973.340;GO;Aparecida de Goiânia;Setor Serra Dourada;AVENIDA INDEPENDÊNCIA SN QD. AREA LOTE 01 LOJA 61 SETOR SERRA DOURADA 3ª ETAPA;(66) 9604-3904;;celiajatai@yahoo.com.br;;;"09.084413.15.0001-5";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário)";20;Nenhuma das Opções
MARIA PAULA ARAÚJO DA SILVA - ME;LARROSE ALIMENTOS PREPARADOS & BUFFET;"70.045.729/0001-60";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Similar;59.140.800;RN;Parnamirim;Cohabinal;RUA DR. MÁRIO MEDEIROS, Nº 26;(84) 3272-8699;;fatimabuffet03@yahoo.com.br;;;"20.076878.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";50;Nenhuma das Opções
POLLO PLAZA HOTEL LTDA;POLLO PLAZA HOTEL;"13.257.749/0001-60";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Similar;75.650.000;GO;Morrinhos;Morrinhos;R 213SN QD 01 LT 01-C ST. AEROPORTO;(64) 3413-3600;;pollohotel@gmail.com;;;"09.054756.15.0001-8";"5510-8/01-HOTEL (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";80;
PORTO SOLAR RESTAURANTE LTDA ME;TOA TOA LOUNGE;"04.937.615/0001-08";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;45.810.000;BA;Porto Seguro;Porto Seguro;AVENIDA BEIRA MAR, Nº 1513, KM 05. ITAPERAPUAN;(73) 3679-1146;(73) 3679-1146;toatoaps@hotmail.com;;;"05.086828.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";300;Nenhuma das Opções
LUIS GOMES DA SILVA RESTAURANTE E COZINHA - EPP;COZINHA E RESTAURANTE BRASILIA;"18.593.223/0001-75";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;56.460.000;PE;Petrolândia;Petrolândia;AVENIDA DJALMA WANDERLEY N ° 481;(87) 99682-2877;;restaurantebrasilia@outlook.com;;;"16.087806.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";100;Nenhuma das Opções
RESTAURANTE BEM-TE-VI LTDA - ME;BEM TE VI HOTEL E RESTAURANTE;"94.824.653/0001-39";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;95.180.000;RS;Farroupilha;Farroupilha;VIL CARAVAGGIO  - 1º DISTRITO ;(54) 3260-5200;(54) 3260-5184;contato@bemtevihotel.com.br;rudinei_galafassi@hotmail.com;www.bemtevihotel.com.br;"23.044757.15.0001-2";"5510-8/01-HOTEL (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";;Espanhol ,Italiano
V Z RESTAURANTE LTDA - ME;RESTAURANTE STOP;"25.275.606/0001-60";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;78.470.000;MT;Rosário Oeste;Rosário Oeste;ROD. BR 163, S/N, MARGEM DA BR 163;(65) 99918-1585;;afiscontab@gmail.com;;;"13.081311.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";50;Nenhuma das Opções
MANFERRARI SERVICE LTDA;MANFERRARI HOTEL;"04.372.053/0001-94";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;32.315.000;MG;Contagem;Eldorado;AV JOAO CESAR DE OLIVEIRA, 1090;(31) 3395-5660;;alessandra@manferrari.com.br;;;"11.086353.15.0001-0";"5510-8/01-HOTEL (Primário), 5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Secundário), 8230-0/02-CASAS DE FESTA E EVENTOS (Secundário)";50;Nenhuma das Opções
GS RESTAURANTE LTDA;BOND BURGER;"24.356.359/0001-64";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Similar;58.200.000;PB;Guarabira;Guarabira;AV.OTACILIO LIRA CABRAL, 1300 SALA 204 SHOPPING CIDADE LUZ;(83) 98772-1988;;gsrestauranteltda@gmail.com;;;"15.083630.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";800;Nenhuma das Opções
PEDACINHO DA UEL LTDA - ME;PEDACINHO DA UEL LTDA - ME;"11.196.806/0001-13";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Bar;35.450.000;MG;Itabirito;Itabirito;PRACA DOUTOR GUILHERME 215;(31) 8751-3958;(31) 8751-3958;fielaguia@bol.com.br;;;"11.079172.15.0001-5";"5611-2/03-CALDO DE CANA; SERVIÇO DE ALIMENTAÇÃO (Secundário)";20;Nenhuma das Opções
ISABELLE O REIS - ME;RESSACA LANCHES;"04.202.741/0001-06";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Similar;65.590.000;MA;Barreirinhas;Barreirinhas;PRAÇA DO TRABALHADOR, Nº 05 - CENTRO;(98) 98421-2626;;barreirinhasressaca@gmail.com;;;"10.077383.15.0001-9";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";67;Nenhuma das Opções
LOPES OLIVEIRA COMÉRCIO DE ALIMENTOS LTDA- EPP;ASPARGUS;"02.484.060/0001-52";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;70.755.520;DF;Brasília;Asa Norte;SCLN Q 309 BLOCO B LOJAS 06,12,18 E 30 TÉRREO E SUBSOLO 10,34 E 40;(61) 3274-6201;;deniseaspargus@gmail.com;;;"07.044133.15.0001-3";"5611-2/01-A PESO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário)";0;Inglês
ELIANE PEREIRA GUEDES 38938944468;LANCHONETE E RESTAURANTE FOGÃO CAIPIRA;"18.096.506/0001-01";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;78.870.000;MT;Paranatinga;Paranatinga;RODOVIA MT 130, KM 05, ZONA RURAL;(66) 99649-2005;;smaturptga@gmail.com;;;"13.084175.15.0001-1";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";50;Nenhuma das Opções
DELANNOY E DELANNOY LTDA - ME;PREABEACH VILLAS;"15.762.866/0001-07";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;62.595.000;CE;Cruz;Cruz;AV. BEIRA MAR, S/N - VILA PREA;(88) 99947-3003;;delannoyfamily74@gmail.com;;www.preabeachvillas.com;"06.066689.15.0001-0";"5510-8/01-HOTEL (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";50;Alemão ,Francês ,Inglês
MESTIÇOS GELATERIA E COFFEESHOP;MESTIÇOS GELATERIA E COFFEESHOP;"20.683.947/0001-51";Empresa Individual (EIRELI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;58.200.000;PB;Guarabira;Guarabira;SABINIANO MAIA, 1056 NOVO;(83) 98875-1289;;andersonrenneclaudino@gmail.com;;;"15.075483.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário), 5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";80;
CREMILSON CARLOS ATAIDE VIANA 71347151249;POUSADA DAS ÁGUIAS;"20.457.593/0001-27";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;66.913.010;PA;Belém;Chapéu Virado (Mosqueiro);AVENIDA BEIRA MAR, Nº 4588;(91) 98909-1986;;pousada.dasaguias@outlook.com.br;;;"14.075870.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Secundário), 5590-6/03-PENSÃO; SERVIÇO DE ALOJAMENTO (Secundário)";250;
CAPPI RESTAURANTE LTDA - ME;CAPPI RESTAURANTE;"06.351.997/0001-00";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;29.650.000;ES;Santa Teresa;Santa Teresa;AV. GETULIO VARGAS Nº196;(27) 3259-1551;;cappi.restaurante@hotmail.com;;cappirestaurante.com.br;"08.052871.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";113;Nenhuma das Opções
P. F. F. DE OLIVEIRA ME;RESTAURANTE ALTO DAS COLINAS - SELF SERVICE;"11.042.174/0001-33";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;59.290.000;RN;São Gonçalo do Amarante;São Gonçalo do Amarante;RUA ALEXANDRE CAVALCANTI, 777 - ALTO DAS COLINAS;(84) 99940-8211;;mariamartapeixto@gmail.com;;;"20.075970.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";45;Nenhuma das Opções
F. CRISTINA BARBOSA PEDROSO & CIA LTDA - ME;GLÓRIA GRILL RESTAURANTE;"09.368.211/0001-56";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;79.332.030;MS;Corumbá;Aeroporto;RUA CABRAL Nº 1628;(67) 3231-4441;(67) 9805-0380;espeteriagloria@hotmail.com;;www.gloriagrill.com;"12.077637.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";80;Espanhol
JOSÉ A. DOS SANTOS RESTAURANTES - ME;RESTAURANTE E POUSADA MAMA PEREIRA;"13.120.800/0001-98";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;57.950.000;AL;Japaratinga;Japaratinga;AV. NAPOLEÃO RODRIGUES DA SILVA, 37 CENTRO;(82) 3297-1222;(82) 99993-7053;mamapereirajaparatinga@hotmail.com;;;"02.084009.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";120;Nenhuma das Opções
CATTAPAN & BECHARA DISTRIBUIDORA LTDA-ME - ME;ACAI & CIA DISTRIBUIDORA;"09.417.660/0001-47";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Similar;37.550.000;MG;Pouso Alegre;Pouso Alegre;RUA MARECHAL DEODORO 521;(35) 3421-5735;;leobechara02@gmail.com;;;"11.084988.15.0001-0";"5611-2/01-GELATERIA; SERVIÇO DE ALIMENTAÇÃO
 (Secundário)";20;Nenhuma das Opções
YOSHIKAI RESTAURANTE LTDA - ME;AGUA DOCE CACHAÇARIA;"04.095.918/0001-12";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;37.062.650;MG;Varginha;Santa Luiza;RUA SALUM ASSAD DAVID, 6;(35) 3214-4993;(32) 3021-0102;andre.yuki@yahoo.com.br;;;"11.079786.15.0001-3";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário)";160;Inglês
CHIQUINHO SORVETERIA LTDA - EPP;CHIQUINHO SORVETES CPA ;"23.483.921/0001-58";Empresário Individual (Não MEI);"10/04/2004";Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Similar;78.050.000;MT;Cuiabá;Bosque da Saúde;AV HISTORIADOR RUBENS DE MENDONÇA, 1805;(65) 9688-0479;(65) 8424-1800;marcelo.avm@gmail.com;;www.harborhoteis.com.br;"13.074767.15.0001-9";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";30;Nenhuma das Opções
RIACHO SUSHI COMERCIO DE ALIMENTOS EIRELI - EPP;SUSHILOKO;"23.972.095/0001-00";Empresa Individual (EIRELI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Similar;71.805.731;DF;Riacho Fundo;Riacho Fundo;Q QN 7 AREA ESPECIAL 1 LOJA  4 CENTRO COMERCIAL S/N;(61) 3522-7503;;riachu.sushiloko@gmail.com;;www.sushiloko.com.br;"07.078889.15.0001-6";"5611-2/03-CASA DE SUCO; SERVIÇO DE ALIMENTAÇÃO (Primário)";46;Nenhuma das Opções
CLAUDIO ANTONIO GONÇALVES ME;ROLA PAPO PIZZARIA;"02.791.208/0001-00";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;78.300.000;MT;Tangará da Serra;Tangará da Serra;RUA SEBASTIÃO BARRETO Nº 227 S - BAIRRO CENTRO;(65) 3326-3300;(65) 3326-3300;claudio@rolapapo.com.br;;;"13.090019.15.0001-2";"5611-2/01-PIZZARIA COM SERVIÇO COMPLETO; SERVIÇO DE ALIMENTAÇÃO (Secundário)";200;Nenhuma das Opções
GMZ COMERCIO DE ALIMENTOS LTDA - EPP;FRAN'S CAFÉ;"14.314.724/0001-14";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Cafeteria;70.673.613;DF;Cruzeiro;Setor Sudoeste;Q SHCSW CLSW 302 BLOCO C LOJAS 20,22,24,26 E 30 ;(61) 98625-4555;;hugo@volpeconsultoria.com;;;"07.086361.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";60;Inglês
RIBEIRÃO FRUTOS DO MAR RESTAURANTE LTDA;VIVENDA DO CAMARÃO;"11.276.657/0001-00";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;14.096.340;SP;Ribeirão Preto;Ribeirânia;AV PRESIDENTE KENNEDY, Nº 1500 / LOJA FF12;(16) 3629-1743;;adm@marbrasil.net.br;;www.vivendadocamarao.com.br;"26.039852.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";100;Inglês
JANDIR INEIA - EPP;CHURRASCARIA E LANCHONETE SUCAL;"01.657.685/0001-06";Empresário Individual (Não MEI);;Empresa de Médio ou Grande Porte;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;75.801.701;GO;Jataí;Sebastião Herculano;ROD BR 364 KM 195 SN SETOR INDUSTRIAL;(64) 3636-4750;;edconpessoal@gmail.com;;;"09.075906.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";214;Nenhuma das Opções
